Source,Target,Relationship,PublicationYear
10.1109/TKDE.2018.2807452,10.1109/TPAMI.2014.2316836,CITES,2014
10.1109/TKDE.2018.2807452,10.1145/2623330.2623732,CITES,2014
10.1109/TKDE.2018.2807452,10.14778/2556549.2556554,CITES,2013
10.1109/TKDE.2018.2807452,10.1145/2488388.2488393,CITES,2013
10.1109/TKDE.2018.2807452,10.1007/s10994-013-5363-6,CITES,2013
10.1109/TKDE.2018.2807452,10.1109/TPAMI.2013.50,CITES,2012
10.1109/TKDE.2018.2807452,10.14778/2212351.2212354,CITES,2012
10.1109/TKDE.2018.2807452,10.3758/s13428-011-0183-8,CITES,2012
10.1109/TKDE.2018.2807452,10.1609/aaai.v25i1.7917,CITES,2011
10.1109/TKDE.2018.2807452,10.5555/1953048.2078187,CITES,2011
10.1109/TKDE.2018.2807452,10.1609/aaai.v24i1.7696,CITES,2010
10.1109/TKDE.2018.2807452,10.1016/J.WEBSEM.2009.07.002,CITES,2009
10.1109/TKDE.2018.2807452,10.1109/TKDE.2008.204,CITES,2009
10.1109/TKDE.2018.2807452,10.1145/1553374.1553494,CITES,2009
10.1109/TKDE.2018.2807452,10.1145/1401890.1401971,CITES,2008
10.1109/TKDE.2018.2807452,10.5555/1756006.1859891,CITES,2008
10.1109/TKDE.2018.2807452,10.1145/1376616.1376746,CITES,2008
10.1109/TKDE.2018.2807452,10.1145/1291233.1291329,CITES,2007
10.1109/TKDE.2018.2807452,10.1145/1242572.1242667,CITES,2007
10.1109/TKDE.2018.2807452,10.1007/s00211-007-0114-x,CITES,2006
10.1109/TKDE.2018.2807452,10.1109/ICDM.2005.132,CITES,2005
10.1109/TKDE.2018.2807452,10.1145/1101149.1101193,CITES,2005
10.1109/TKDE.2018.2807452,10.1145/1015330.1015345,CITES,2004
10.1109/TKDE.2018.2807452,10.1126/SCIENCE.295.5552.7A,CITES,2002
10.1109/TKDE.2018.2807452,10.1126/SCIENCE.290.5500.2323,CITES,2000
10.1109/TKDE.2018.2807452,10.1162/neco.1997.9.8.1735,CITES,1997
10.1109/TKDE.2018.2807452,10.1080/03081088508817681,CITES,1985
10.1109/TKDE.2018.2807452,10.1007/BF02163027,CITES,1970
10.1109/TKDE.2018.2807452,10.1109/TKDE.2016.2606098,CITES,2017
10.1109/TKDE.2018.2807452,10.1016/j.patcog.2016.07.043,CITES,2017
10.1109/TKDE.2018.2807452,10.1109/TNN.2008.2005605,CITES,2009
10.1109/TKDE.2018.2807452,10.1109/TPAMI.2007.12,CITES,2007
10.1109/TKDE.2018.2807452,10.1016/S0377-2217(01)00143-6,CITES,2002
10.1145/3543873.3587570,10.1609/AAAI.V34I04.5747,CITES,2020
10.1609/AAAI.V34I04.5747,10.24963/ijcai.2019/564,CITES,2019
10.1609/AAAI.V34I04.5747,10.24963/ijcai.2019/563,CITES,2019
10.1609/AAAI.V34I04.5747,10.18653/v1/P19-1479,CITES,2019
10.1609/AAAI.V34I04.5747,10.1109/ICCV.2019.00936,CITES,2019
10.1609/AAAI.V34I04.5747,10.1609/AAAI.V34I04.5984,CITES,2019
10.1609/AAAI.V34I04.5747,10.1016/j.patcog.2020.107637,CITES,2019
10.1609/AAAI.V34I04.5747,10.1109/TPAMI.2021.3054830,CITES,2019
10.1609/AAAI.V34I04.5747,10.1016/J.AIOPEN.2021.01.001,CITES,2018
10.1609/AAAI.V34I04.5747,10.1609/aaai.v33i01.33014602,CITES,2018
10.1609/AAAI.V34I04.5747,10.1609/aaai.v32i1.11604,CITES,2018
