NodeID,PaperTitle,Type,Authors,PublicationYear,DOI
10.1145/2968219.2968416,Representation learning for geospatial areas using large-scale mobility data from smart card,ReferenceOfReference,"['Masanao Ochi', 'Y. Nakashio', 'Y. Yamashita', 'I. Sakata', 'Kimitake Asatani', 'M. Ruttley', 'Junichiro Mori']",2016,10.1145/2968219.2968416
10.1145/2939672.2939753,Structural Deep Network Embedding,ReferenceOfReference,"['Daixin Wang', 'Peng Cui', 'Wenwu Zhu']",2016,10.1145/2939672.2939753
10.1145/2939672.2939673,Collaborative Knowledge Base Embedding for Recommender Systems,ReferenceOfReference,"['Fuzheng Zhang', 'Nicholas Jing Yuan', 'Defu Lian', 'Xing Xie', 'Wei-Ying Ma']",2016,10.1145/2939672.2939673
10.1145/2939672.2939751,Asymmetric Transitivity Preserving Graph Embedding,ReferenceOfReference,"['Mingdong Ou', 'Peng Cui', 'J. Pei', 'Ziwei Zhang', 'Wenwu Zhu']",2016,10.1145/2939672.2939751
10.18653/v1/P16-1095,Discriminative Deep Random Walk for Network Classification,ReferenceOfReference,"['Juzheng Li', 'Jun Zhu', 'Bo Zhang']",2016,10.18653/v1/P16-1095
10.1109/IJCNN.2016.7727520,Predicting user's multi-interests with network embedding in health-related topics,ReferenceOfReference,"['Zhipeng Jin', 'Ruoran Liu', 'Qiudan Li', 'D. Zeng', 'Yongcheng Zhan', 'Lei Wang']",2016,10.1109/IJCNN.2016.7727520
10.1145/2911451.2914740,Not All Links Are Created Equal: An Adaptive Embedding Approach for Social Personalized Ranking,ReferenceOfReference,"['Qing Zhang', 'Houfeng Wang']",2016,10.1145/2911451.2914740
10.1145/2939672.2939754,node2vec: Scalable Feature Learning for Networks,ReferenceOfReference,"['Aditya Grover', 'J. Leskovec']",2016,10.1145/2939672.2939754
10.1007/s13735-016-0102-y,Learning content–social influential features for influence analysis,ReferenceOfReference,"['Na Zhao', 'Hanwang Zhang', 'Meng Wang', 'Richang Hong', 'Tat-Seng Chua']",2016,10.1007/s13735-016-0102-y
10.1016/j.neucom.2015.07.128,Dimensionality reduction on Anchorgraph with an efficient Locality Preserving Projection,ReferenceOfReference,"['Rui Jiang', 'Weijie Fu', 'Li Wen', 'Shijie Hao', 'Richang Hong']",2016,10.1016/j.neucom.2015.07.128
